direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2018/06/18,499.382996,2018/06/22,474.41384619999997,-24.969149800000025,-5.000000000000005,0.95,5.000000000000005,,-1,3,stop-loss,474.41384619999997,,
long,2018/06/24,474.768005,2018/06/25,451.02960475000003,-23.738400249999984,-4.9999999999999964,0.9500000000000001,4.9999999999999964,,-1,0,stop-loss,451.02960475000003,,
long,2018/06/27,432.243988,2018/06/29,410.6317886,-21.61219940000001,-5.000000000000002,0.95,5.000000000000002,,-1,1,stop-loss,410.6317886,,
long,2018/07/01,455.242004,2018/07/08,492.067993,36.82598899999999,8.089321432650575,1.0808932143265058,5.000000000000004,,1.6178642865301138,6,exit-rule,432.4799038,,
long,2018/07/10,476.161987,2018/07/11,452.35388765,-23.80809935000002,-5.000000000000004,0.95,5.000000000000004,,-1,0,stop-loss,452.35388765,,
long,2018/07/13,430.740997,2018/07/17,480.076996,49.335999000000015,11.453750477343121,1.1145375047734312,5.0000000000000036,,2.2907500954686224,3,exit-rule,409.20394715,,
long,2018/07/21,450.678986,2018/07/23,459.438995,8.760008999999968,1.9437358457179026,1.019437358457179,5.0000000000000036,,0.3887471691435802,1,exit-rule,428.1450367,,
long,2018/07/31,457.244995,2018/08/01,434.38274525,-22.86224974999999,-4.999999999999997,0.9500000000000001,4.999999999999997,,-1,0,stop-loss,434.38274525,,
long,2018/08/03,412.566986,2018/08/07,391.93863669999996,-20.628349300000025,-5.000000000000006,0.95,5.000000000000006,,-1,3,stop-loss,391.93863669999996,,
long,2018/08/09,356.971008,2018/08/10,339.12245759999996,-17.848550400000022,-5.000000000000006,0.95,5.000000000000006,,-1,0,stop-loss,339.12245759999996,,
long,2018/08/12,320.822998,2018/08/13,304.7818481,-16.041149899999994,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,0,stop-loss,304.7818481,,
long,2018/08/15,280.386993,2018/08/22,266.36764335000004,-14.019349649999981,-4.999999999999993,0.9500000000000001,4.999999999999993,,-1,6,stop-loss,266.36764335000004,,
long,2018/08/24,278.110992,2018/09/05,264.20544240000004,-13.905549599999972,-4.99999999999999,0.9500000000000001,4.99999999999999,,-1,11,stop-loss,264.20544240000004,,
long,2018/09/07,229.535004,2018/09/08,218.0582538,-11.476750199999998,-5,0.95,5,,-1,0,stop-loss,218.0582538,,
long,2018/09/10,197.850998,2018/09/11,187.9584481,-9.892549900000006,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,187.9584481,,
long,2018/09/13,183.679001,2018/09/22,247.337006,63.658005,34.65720341107474,1.3465720341107474,4.9999999999999964,,6.931440682214953,8,exit-rule,174.49505095,,
long,2018/09/25,228.326996,2018/09/26,216.9106462,-11.416349800000006,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,216.9106462,,
long,2018/09/28,229.041,2018/09/29,217.58895,-11.452049999999986,-4.999999999999994,0.9500000000000001,4.999999999999994,,-1,0,stop-loss,217.58895,,
long,2018/10/04,220.445999,2018/10/06,227.552002,7.106002999999987,3.223466532499865,1.0322346653249987,4.999999999999996,,0.6446933064999736,1,exit-rule,209.42369905,,
